City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
83,grand-bassam,5.2118,-3.7388,301.13,79,97,2.94,CI,1683497339
84,ribeira grande,38.5167,-28.7,291.36,97,100,8.49,PT,1683497309
85,tralee,52.2704,-9.7026,286.0,98,100,2.48,IE,1683497339
86,papatowai,-46.5619,169.4708,286.94,72,100,1.03,NZ,1683497292
87,fortuna,40.5982,-124.1573,287.96,69,94,5.53,US,1683497339
88,kirensk,57.7853,108.1119,275.38,91,100,2.13,RU,1683497339
89,jayapura,-2.5333,140.7,298.81,91,71,2.14,ID,1683497195
90,surgut,61.25,73.4167,282.25,70,0,7.15,RU,1683497150
91,longyearbyen,78.2186,15.6401,272.06,86,75,2.06,SJ,1683497312
92,lebu,-37.6167,-73.65,284.26,77,45,7.36,CL,1683497312
93,ilulissat,69.2167,-51.1,273.16,86,100,1.54,GL,1683497315
94,les anglais,18.3054,-74.2197,301.13,70,30,3.16,HT,1683497340
95,prince george,53.9166,-122.753,282.75,94,100,0.89,CA,1683497340
96,viedma,-40.8135,-62.9967,286.8,72,91,5.67,AR,1683497340
97,antofagasta,-23.65,-70.4,288.75,78,13,3.22,CL,1683497135
98,carnarvon,-24.8667,113.6333,293.96,63,13,6.0,AU,1683497315
99,flying fish cove,-10.4217,105.6791,299.97,83,75,4.12,CX,1683497298
100,vegachi,6.7614,-74.7947,299.45,65,87,1.01,CO,1683497340
101,limulunga,-15.0969,23.1376,290.42,40,4,2.66,ZM,1683497341
102,lorengau,-2.0226,147.2712,302.07,75,67,1.96,PG,1683497318
103,taro,-8.3862,115.28,295.15,97,83,0.83,ID,1683497341
104,uturoa,-16.7333,-151.4333,300.95,77,46,6.3,PF,1683497341
105,beledweyne,4.7358,45.2036,300.2,67,71,8.33,SO,1683497341
106,monrovia,6.3005,-10.7969,299.02,80,47,4.11,LR,1683497341
107,wailua homesteads,22.0669,-159.378,299.39,67,75,8.75,US,1683497290
108,acapulco de juarez,16.8634,-99.8901,304.05,74,40,6.69,MX,1683497275
109,afaahiti,-17.75,-149.2833,302.08,77,85,7.02,PF,1683497313
110,vancleave,30.5405,-88.6875,301.46,79,75,4.63,US,1683497325
111,stanley,54.868,-1.6985,285.25,93,90,0.51,GB,1683497304
112,constantia,44.1833,28.65,284.65,78,43,2.19,RO,1683497204
113,fortaleza,-3.7227,-38.5247,301.6,78,0,2.06,BR,1683497248
114,tibu,8.639,-72.7358,304.64,49,100,1.28,CO,1683497343
115,nova vicosa,-17.8919,-39.3719,297.84,80,2,4.57,BR,1683497343
116,tabuk,17.4189,121.4443,297.84,86,97,0.79,PH,1683497344
117,lucapa,-8.4192,20.7447,292.73,65,6,1.23,AO,1683497345
118,badger,64.8,-147.5333,285.08,41,75,1.54,US,1683497292
119,saint-pierre,-21.3393,55.4781,296.97,78,0,3.09,RE,1683497312
120,siparia,10.1333,-61.5,301.94,72,42,5.38,TT,1683497347
121,dalby,-27.1833,151.2667,281.89,44,0,7.7,AU,1683497347
122,barcs,45.96,17.4586,287.72,96,97,3.11,HU,1683497348
123,vilyuysk,63.7553,121.6247,264.85,85,89,1.91,RU,1683497164
124,gurupa,-1.405,-51.64,299.43,80,88,0.77,BR,1683497348
125,rovnoye,50.7765,46.0509,281.84,55,100,6.08,RU,1683497348
126,hasaki,35.7333,140.8333,289.37,95,100,5.27,JP,1683497320
127,lihue,21.9789,-159.3672,299.73,67,75,8.75,US,1683497290
128,namibe,-15.1961,12.1522,297.24,63,8,2.19,AO,1683497349
129,lompoc,34.6391,-120.4579,297.42,70,20,9.39,US,1683497349
130,katsuura,35.1333,140.3,294.16,93,100,12.98,JP,1683497350
131,labrador city,52.9463,-66.9114,276.99,44,100,5.71,CA,1683497350
132,bernardino de campos,-23.0131,-49.4742,293.73,79,93,0.65,BR,1683497351
133,agar,23.7,76.0167,302.94,32,51,1.77,IN,1683497351
134,laborde,-33.1532,-62.8566,291.41,55,0,1.99,AR,1683497351
135,port mathurin,-19.6833,63.4167,299.18,71,1,9.35,MU,1683497299
136,nykarleby,63.5228,22.5307,277.54,59,100,3.98,FI,1683497352
137,ulladulla,-35.35,150.4667,280.24,61,92,10.03,AU,1683497352
138,polyarnyy,69.1989,33.4478,272.91,90,96,4.59,RU,1683497314
139,pacific grove,36.6177,-121.9166,291.97,66,0,4.63,US,1683497184
140,kapuskasing,49.4169,-82.4331,290.2,34,20,6.17,CA,1683497080
141,astrakhan,46.3497,48.0408,290.08,63,0,6.0,RU,1683497353
142,nantucket,41.2835,-70.0995,292.23,66,0,7.72,US,1683497353
143,louisville,38.2542,-85.7594,294.16,75,0,4.63,US,1683497058
144,kenai,60.5544,-151.2583,283.18,53,100,5.14,US,1683497354
145,puerto lempira,15.2667,-83.7667,303.23,70,20,3.6,HN,1683497354
146,martapura,-3.4167,114.85,299.2,100,100,0.51,ID,1683497355
